127.0.0.1 - - [08/Aug/2024:13:15:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:15:17 +0530] "GET /advance-java-web/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:15:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:15:35 +0530] "GET /advance-java-web/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:15:54 +0530] "GET /advance-java-web/Welcome.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:01 +0530] "GET /advance-java-web/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:01 +0530] "GET /advance-java-web/LoginView.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:12 +0530] "POST /advance-java-web/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:13 +0530] "GET /advance-java-web/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:13 +0530] "GET /advance-java-web/Welcome.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:22 +0530] "GET /advance-java-web/UserListCtl HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:29 +0530] "POST /advance-java-web/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:29 +0530] "GET /advance-java-web/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:16:29 +0530] "GET /advance-java-web/UserView.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:17:07 +0530] "POST /advance-java-web/UserCtl HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:17:10 +0530] "GET /advance-java-web/UserListCtl HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:17:22 +0530] "POST /advance-java-web/UserListCtl HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:17:54 +0530] "GET /advance-java-web/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:17:54 +0530] "GET /advance-java-web/UserView.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:19:01 +0530] "POST /advance-java-web/UserCtl HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:19:53 +0530] "POST /advance-java-web/UserCtl HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:05 +0530] "GET /advance-java-web/LoginCtl?operation=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:05 +0530] "GET /advance-java-web/LoginView.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:24 +0530] "POST /advance-java-web/LoginCtl HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:32 +0530] "POST /advance-java-web/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:32 +0530] "GET /advance-java-web/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:20:32 +0530] "GET /advance-java-web/Welcome.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:22:57 +0530] "GET /advance-java-web/Welcome.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:26:34 +0530] "GET /advance-java-web/Welcome.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:28 +0530] "GET /advance-java-web/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:28 +0530] "GET /advance-java-web/UserView.jsp HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:34 +0530] "GET /advance-java-web/UserListCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:56 +0530] "POST /advance-java-web/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:56 +0530] "GET /advance-java-web/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:13:32:56 +0530] "GET /advance-java-web/UserView.jsp HTTP/1.1" 200 1325
